UID 57 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 58 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 59 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 60 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 61 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 62 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 63 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 64 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 65 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 66 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 67 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 68 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 69 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 70 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 71 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 72 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 73 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 74 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 75 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 76 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 77 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 79 model_info: {'mode': 'local', 'name': 'glm-4-plus'}
UID 80 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 81 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 82 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 83 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 84 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 85 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 86 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 87 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 88 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 89 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 90 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 91 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 92 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 93 model_info: {'mode': 'local', 'name': 'glm-4', 'version': None, 'provider': 'zhipu', 'parameters': {}}
UID 94 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 95 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 96 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 97 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 98 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 99 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 100 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 101 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 102 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 103 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 104 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 105 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 106 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 107 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 108 model_info: {'mode': 'local', 'name': 'glm-4', 'version': None, 'provider': 'zhipu', 'parameters': {}}
UID 112 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 113 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 114 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 115 model_info: {'mode': 'local', 'name': 'glm-4', 'version': None, 'provider': 'zhipu', 'parameters': {}}
UID 116 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 117 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 118 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 120 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 121 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 122 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 123 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 124 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': '1.0', 'provider': 'openai', 'parameters': {}, 'miner_version': '2.1.0', 'timestamp': 1769675776.3549187, 'api_provider': 'openai'}
UID 125 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 126 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 127 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 128 model_info: {'mode': 'cloud', 'name': 'gpt-5-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 130 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 131 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 133 model_info: {'mode': 'cloud', 'name': 'Qwen/Qwen3-235B-A22B-Instruct-2507-TEE', 'version': 'cloud', 'provider': 'chutes', 'parameters': {'endpoint': 'https://llm.chutes.ai/v1', 'temperature': 0.8, 'max_tokens': 3072}}
UID 134 model_info: {'mode': 'cloud', 'name': 'Qwen/Qwen3-235B-A22B-Instruct-2507-TEE', 'version': 'cloud', 'provider': 'chutes', 'parameters': {'endpoint': 'https://llm.chutes.ai/v1', 'temperature': 0.8, 'max_tokens': 3072}}
UID 135 model_info: {'mode': 'cloud', 'name': 'Qwen/Qwen3-235B-A22B-Instruct-2507-TEE', 'version': 'cloud', 'provider': 'chutes', 'parameters': {'endpoint': 'https://llm.chutes.ai/v1', 'temperature': 0.8, 'max_tokens': 3072}}
UID 136 model_info: {'mode': 'cloud', 'name': 'Qwen/Qwen3-235B-A22B-Instruct-2507-TEE', 'version': 'cloud', 'provider': 'chutes', 'parameters': {'endpoint': 'https://llm.chutes.ai/v1', 'temperature': 0.8, 'max_tokens': 3072}}
UID 138 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 140 model_info: {'mode': 'cloud', 'name': 'gpt-4.1-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 141 model_info: {'mode': 'cloud', 'name': 'Qwen/Qwen3-235B-A22B-Instruct-2507-TEE', 'version': 'cloud', 'provider': 'chutes', 'parameters': {'endpoint': 'https://llm.chutes.ai/v1', 'temperature': 0.8, 'max_tokens': 3072}}
UID 142 model_info: {'mode': 'cloud', 'name': 'Qwen/Qwen3-235B-A22B-Instruct-2507-TEE', 'version': 'cloud', 'provider': 'chutes', 'parameters': {'endpoint': 'https://llm.chutes.ai/v1', 'temperature': 0.8, 'max_tokens': 3072}}
UID 143 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 144 model_info: {'mode': 'cloud', 'name': 'Qwen/Qwen3-235B-A22B-Instruct-2507-TEE', 'version': 'cloud', 'provider': 'chutes', 'parameters': {'endpoint': 'https://llm.chutes.ai/v1', 'temperature': 0.8, 'max_tokens': 3072}}
UID 147 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 148 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 149 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 151 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 153 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 154 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 155 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 156 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 157 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 158 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 159 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 160 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 164 model_info: {'mode': 'local', 'name': 'glm-4', 'version': None, 'provider': 'zhipu', 'parameters': {}}
UID 165 model_info: {'mode': 'cloud', 'name': 'Asimrao/Qwen2.5-72B-Instruct-sn92-v1-41229f30', 'version': None, 'provider': 'together', 'parameters': {}}
UID 166 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
